SITEID,LATITUDE,LONGITUDE,DUPLICATE,TARGET_SITEID,TOS_FIELD_PH,BOS_FIELD_PH
2007190144,-25.517,152.644,,TS1085,6.5,6.5
2007190145,-31.247,130.898,2007191105,TS0039,9.5,9.5
2007190146,-22.851,129.233,,TS0803,6.5,7.5
2007190147,-26.052,121.934,,TS0420,7.5,8.5
2007190148,-30.312,141.065,,TS1199,9,9.5
2007190149,-35.164,143.7,,TS1304,6,5
2007190150,-21.834,135.516,,TS0793,6,6
2007190151,-26.498,121.628,,TS0485,6.5,8
2007190152,-30.838,126.239,,TS0556,9,9
2007190153,-33.731,121.991,,TS0614,6,6
2007190154,-12.495,141.892,2007190568,TS0864,6.5,6.5
2007190155,-24.977,138.736,2007191031,TS1073,6.5,6
2007190156,-30.235,142.45,,TS1202,8.5,9.5
2007190158,-18.282,134.227,,TS0734,6,6
2007190159,-30.659,130.031,,TS0049,9.5,9.5
2007190161,-29.357,121.877,2007191413,TS0458,8.5,8.5
2007190162,-35.116,141.553,,TS1332,6,4.5
2007190163,-32.912,115.823,,TS0601,5,5.5
2007190164,-31.91,135.26,,TS0026,8,7
2007190165,-25.226,131.712,,TS0846,7.5,7.5
2007190166,-29.529,123.143,,TS0466,8,5.5
2007190167,-25.014,118.27,,TS0399,8,8
2007190168,-33.979,147.562,,TS1281,5,6.5
2007190169,-12.927,135.038,,TS0649,6,6
2007190170,-13.628,141.701,,TS0870,6.5,6.5
2007190172,-36.153,141.998,,TS1339,6,9.5
2007190174,-35.777,140.461,,TS0123,7,7
2007190175,-29.241,134.373,,TS0068,6.5,6
2007190176,-26.708,114.672,2007191566,TS0483,5.5,4.5
2007190177,-14.007,134.437,,TS0662,6,5.5
2007190178,-16.429,130.934,,TS0709,5.5,8
2007190179,-27.012,136.888,,TS0107,9.5,9.5
2007190181,-30.148,148.392,2007191396,TS1209,5,8.5
2007190182,-35.031,147.107,,TS1298,6,6
2007190183,-25.296,133.1,2007190471,TS0848,7,7
2007190184,-24.472,130.283,,TS0832,7,5
2007190185,-22.913,116.284,2007191253,TS0340,7.5,7.5
2007190187,-31.812,133.862,,TS0028,6,6
2007190188,-28.429,136.847,,TS0081,9,8.5
2007190189,-34.089,141.915,2007191542,TS1283,8.5,8.5
2007190190,-25.641,119.877,,TS0414,9,8.5
2007190192,-32.564,151.091,,TS1248,7,7.5
2007190193,-35.347,145.536,2007190788,TS1305,5.5,10
2007190194,-31.576,147.177,2007190704,TS1229,5.5,6
2007190195,-31.797,134.617,,TS0029,7.5,8
2007190196,-33.177,144.571,,TS1264,6,7.5
2007190197,-17.077,124.068,2007190962,TS0217,7,8
2007190198,-25.465,140.886,,TS1082,6.5,6.5
2007190202,-27.468,147.3,,TS1128,6,7
2007190203,-27.43,116.825,,TS0510,8,8
2007190204,-19.972,133.603,,TS0762,7,7
2007190205,-20.804,143.542,,TS0972,4.5,5.5
2007190206,-20.855,119.766,,TS0290,6.5,7.5
2007190207,-32.999,118.555,,TS0604,7.5,4.5
2007190208,-24.136,151.692,2007191593,TS1052,5.5,5
2007190209,-20.042,137.015,2007191254,TS0759,5.5,5.5
2007190211,-17.766,139.56,,TS0911,7.5,7.5
2007190212,-23.579,131.136,2007190747,TS0816,5,5
2007190213,-22.7,114.898,2007190003,TS0321,7.5,8
2007190214,-30.023,145.398,,TS1203,7,6.5
2007190215,-25.395,135.377,,TS0850,6,6.5
